skill,mean,sd,median,min,max,count
Assembly,3.2857142857142856,1.3469542361512192,3,1,5,21
Electronics,2.619047619047619,1.2440333788202982,3,1,5,21
Filigrane work,2.9523809523809526,1.3592715135759477,3,1,5,21
Metalworking,2.3333333333333335,1.1972189997378648,2,1,5,21
Textile,3,1.3038404810405297,3,1,5,21
Woodworking,2.9047619047619047,1.300183137283433,3,1,5,21
